,Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
224,CMRX,CHIMERIX INC,2.15,-0.02,-0.92,0.0,0.004422,5.91
225,CHDN,CHURCHILL DOWNS INC,137.19,1.57,1.16,38.9,0.001594,-0.01
226,CHUY,CHUY'S HOLDINGS INC,25.91,-0.19,-0.73,39.9,0.0008320000000000001,-0.04
227,CBB,CINCINNATI BELL INC,10.68,0.14,1.33,0.0,0.007102,2.01
228,CIR,CIRCOR INTERNATIONAL IN,44.27,0.1,0.23,0.0,0.0006349999999999999,-4.26
229,CRUS,CIRRUS LOGIC INC,85.34,1.05,1.25,44.0,0.0054280000000000005,3.56
230,CTRN,CITI TRENDS INC,22.06,-0.33,-1.47,18.7,0.000709,-4.58
231,CZNC,CITIZENS & NORTHERN COR,27.98,0.62,2.27,18.4,0.00010700000000000001,-0.96
232,CIA,CITIZENS INC,6.77,-0.04,-0.59,0.0,0.000411,0.3
233,CHCO,CITY HOLDING CO,81.59,-0.12,-0.15,17.3,0.000439,-0.44
234,CLNE,CLEAN ENERGY FUELS CORP,2.69,0.08,3.07,0.0,0.007193000000000001,14.96
235,CLW,CLEARWATER PAPER CORP,18.93,-0.38,-1.97,0.0,0.0013189999999999999,-11.38
236,CLVS,CLOVIS ONCOLOGY INC,9.98,-0.79,-7.38,0.0,0.116,-4.27
237,CCNE,CNB FINL CORP PA,31.6,-0.29,-0.91,12.5,0.00021400000000000002,-3.3
238,CNO,CNO FINANCIAL GROUP,18.02,0.08,0.45,18.0,0.009428,-0.61
239,COKE,COCA COLA BOTTLING,276.46,-0.8,-0.29,0.0,0.00038500000000000003,-2.67
240,CDE,COEUR MINING INC,6.4,0.11,1.75,0.0,0.091,-20.79
241,CCOI,COGENT COMMUNICATIONS,70.5,1.26,1.82,87.0,0.0048200000000000005,7.13
242,CGNX,COGNEX CORP,56.07,0.53,0.95,57.8,0.006156,0.05
243,CNS,COHEN & STEERS INC,62.99,0.85,1.37,24.6,0.001583,0.37
244,COHR,COHERENT INC,172.45,-0.47,-0.27,77.7,0.002432,3.67
245,COHU,COHU INC,23.33,-0.07,-0.3,0.0,0.0018679999999999999,2.1
